Color,Marca,Matricula,Modelo,Bastidor,Tarifa
Amarillo,Seat,3777MWY,Nuevo,-2068394951145533227,100.31380822339294,
Amarillo,Audi,5719KZC,Nuevo,4880972501981867161,100.20752125953939,
Negro,Seat,7893HMA,Nuevo,-7702449493480943233,100.91213080524403,
Negro,Audi,4002KLV,Nuevo,1002611804480598913,100.35191595276811,
Negro,Seat,5066GYX,ClÃ¡sico,2449653889777697147,100.43778776141994,
Amarillo,Audi,3841HCY,Nuevo,-4314919041690722901,100.90864083886147,
Amarillo,Audi,9004ENJ,Nuevo,-4878969560059107784,100.80984018574361,
Negro,Audi,4992JRK,Nuevo,4959758899468815784,100.52330281583627,
Amarillo,Seat,4590QJL,ClÃ¡sico,-7531850098780224665,100.67476627237349,
Amarillo,Audi,2022GQV,Nuevo,3679914704919653447,100.56121867722247,
Rojo,Seat,5893HGS,Nuevo,7611465924548045563,100.9650979985561,
Negro,Seat,6644YQE,Nuevo,3877799557624576154,100.35175128342007,
Blanco,Audi,2295IOV,ClÃ¡sico,7932855925179452707,100.482776869277,
Amarillo,Audi,6858HDE,Nuevo,3108447001078650867,100.42025564280246,
Negro,Audi,2652KMM,ClÃ¡sico,-7040727837195433904,100.74551052474561,
Blanco,Audi,0964UOR,Nuevo,-6627482358546700830,100.57091581129451,
Negro,Seat,3179FHX,Nuevo,1572529739673319732,100.58441068917142,
Blanco,Seat,0431ODV,ClÃ¡sico,4461281745086874680,100.93375459576316,
Negro,Audi,7294CNL,ClÃ¡sico,-2975948170717803840,100.2311944033281,
Rojo,Audi,3068QVR,ClÃ¡sico,-5842177653809288442,100.33909647075973,
Rojo,Seat,9098LNI,ClÃ¡sico,7120192102876186149,100.8832293248368,
Rojo,Audi,5181GRU,Nuevo,-7363961893045503843,100.6327655821928,
Negro,Seat,2915EME,Nuevo,-2335019314200911149,100.98470456927852,
Blanco,Seat,1691YXL,ClÃ¡sico,9120251266435301774,100.79529980626485,
Amarillo,Seat,4683SHN,ClÃ¡sico,-5123505743894276485,100.71220837525581,
Blanco,Audi,0140EQK,Nuevo,6689907504274186411,100.97846216355646,
Negro,Audi,5681HJV,Nuevo,-572699126694435568,100.40299353752248,
Rojo,Audi,5574SZD,Nuevo,-2528876681896704253,100.82233087696618,
Blanco,Seat,6217FVH,ClÃ¡sico,-4312376790350270271,100.9142123755892,
Amarillo,Audi,2773QUA,ClÃ¡sico,1473873387319348201,100.66624918712579,
