Color,Marca,Matricula,Modelo,Bastidor,Tarifa
Amarillo,Seat,7061AFC,Nuevo,4334643253059044665,100.68953483016051,
Blanco,Audi,1637WIK,Clásico,-6443501494904976858,100.74403821931772,
Rojo,Audi,2818EYF,Nuevo,8787134857498427150,100.1209881780413,
Blanco,Audi,2347WSJ,Clásico,3407134005594549887,100.89576792879427,
Rojo,Seat,2202QMB,Clásico,-1055003049120004904,100.68877836169268,
Rojo,Audi,5656TNM,Clásico,2654122985767077462,100.97764506108496,
Blanco,Audi,7449AFP,Clásico,-5719494707843937918,100.91250579900277,
Negro,Seat,7632CGQ,Nuevo,-6917953289197240931,100.79589175748727,
Blanco,Seat,1526SSX,Nuevo,583721976182197979,100.69582589390282,
Rojo,Audi,5092OPV,Nuevo,4654641252770229601,100.46264738245168,
Rojo,Audi,6920ACI,Clásico,4961390565951420913,100.59990961281154,
Rojo,Audi,8673DUK,Clásico,-4983674396207510691,100.34857337557666,
Amarillo,Seat,9815SLW,Clásico,1890191924667257088,100.79387819163541,
Blanco,Seat,7631USD,Clásico,4361943506752671778,100.46769324310989,
Negro,Audi,7228OKF,Nuevo,9083185059099184468,100.95098221375994,
Negro,Audi,4542ETE,Nuevo,6888579511178793001,100.38924375567875,
Amarillo,Seat,7471AVT,Clásico,-124230124722587934,100.83208636594429,
Blanco,Seat,9538FDW,Nuevo,-8786237754267206532,100.56929813889059,
Negro,Audi,3979AMD,Clásico,2593041812421810321,100.58408062036541,
Amarillo,Seat,0063OGX,Nuevo,-2482728182977118796,100.2858000007347,
Negro,Seat,3318ZKG,Clásico,-5898571027790769311,100.18752871835325,
Negro,Audi,9738GGT,Nuevo,9204839449737293942,100.15264862333974,
Rojo,Seat,0381FEY,Clásico,1946865565865311230,100.97600554163837,
Blanco,Audi,0208CZA,Clásico,5477298426060539071,100.69661010530749,
Blanco,Seat,3733ZWZ,Nuevo,-6659884542290144943,100.91115735398569,
Negro,Seat,4663DCO,Clásico,-242807594336144999,100.56224623189061,
Rojo,Audi,2145EOZ,Clásico,5549981470090120246,100.66688358747959,
Rojo,Seat,4889MLS,Clásico,-4397852654538316528,100.2918945235695,
Amarillo,Audi,7267PXD,Clásico,1290539122465085285,100.5284851701186,
Blanco,Seat,4485ZZS,Nuevo,4184049109054153863,100.19698057339811,
